MAKE,MODEL,GRADE,CHASSIS NO,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL,_feature_tokens,MONTH
TOYOTA,RAIZE,UNKNOWN,8003,ORANGE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1000,33550.0,2019,MOMBASA,2611736,"12V ADAPTOR, 4 DOORS, 5 DOOR, ABS, CUP HOLDER, FABRIC SEATS, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, RADIO, TRACTION CONTROL",2019,TOYOTA RAIZE,"['12v', 'adaptor', '4', 'doors', '5', 'door', 'abs', 'cup', 'holder', 'fabric', 'seats', 'power', 'door', 'locks', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'radio', 'traction', 'control']",12.0
NISSAN,NV200,UNKNOWN,25777,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1600,148836.0,2018,NAIROBI,532512,"5 DOOR, ABS, CUP HOLDER, FABRIC SEATS, KEY START, POWER DOOR LOCKS, POWER STEERING, TRACTION CONTROL, VAN",2018,NISSAN NV200,"['5', 'door', 'abs', 'cup', 'holder', 'fabric', 'seats', 'key', 'start', 'power', 'door', 'locks', 'power', 'steering', 'traction', 'control', 'van']",6.0
JEEP,COMPASS,UNKNOWN,15048,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2400,76661.0,2018,KISUMU,1220131,"12V ADAPTOR, 4 DOORS, 5 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, CUP HOLDER, ELECTRIC HANDBRAKE, FABRIC SEATS, FOG LIGHTS, KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PUSH  TO START, TRACTION CONTROL",2018,JEEP COMPASS,"['12v', 'adaptor', '4', 'doors', '5', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'cup', 'holder', 'electric', 'handbrake', 'fabric', 'seats', 'fog', 'lights', 'keyless', 'entry', 'exit', 'power', 'door', 'locks', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'push', 'to', 'start', 'traction', 'control']",4.0
SUBARU,SAMBAR,UNKNOWN,6253,RED,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,660,161074.0,2019,NAIROBI,1628932,"5 SPEED MANUAL TRANSMISSION, ABS, FABRIC SEATS, MANUAL SEATS CONTROL, PICK UP BODY, POWER STEERING, TRACTION CONTROL",2019,SUBARU SAMBAR,"['5', 'speed', 'manual', 'transmission', 'abs', 'fabric', 'seats', 'manual', 'seats', 'control', 'pick', 'up', 'body', 'power', 'steering', 'traction', 'control']",0.0
TOYOTA,HARRIER,UNKNOWN,51751,BLACK,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2000,95454.0,2018,KISUMU,2548490,"12V ADAPTOR, 4 DOORS, 5 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, DRIVER'S ARMREST WITH STORAGE, FOG LIGHTS, HEATED /COOLED SEATS, KEYLESS ENTRY / EXIT, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER PANORAMIC SUNROOF, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, RADIO, REVERSE CAMERA, SIDE MIRROR INDICATORS, TRACTION CONTROL",2018,TOYOTA HARRIER,"['12v', 'adaptor', '4', 'doors', '5', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'driver', 's', 'armrest', 'with', 'storage', 'fog', 'lights', 'heated', 'cooled', 'seats', 'keyless', 'entry', 'exit', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'panoramic', 'sunroof', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'radio', 'reverse', 'camera', 'side', 'mirror', 'indicators', 'traction', 'control']",5.0
NISSAN,NV200,UNKNOWN,20839,BLUE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1600,81800.0,2018,MOMBASA,2450589,"2 POWER WINDOWS, 5 DOOR, ABS, CUP HOLDER, FABRIC SEATS, KEY START, MANUAL SEATS CONTROL, POWER DOOR LOCKS, POWER STEERING, TRACTION CONTROL, VAN",2018,NISSAN NV200,"['2', 'power', 'windows', '5', 'door', 'abs', 'cup', 'holder', 'fabric', 'seats', 'key', 'start', 'manual', 'seats', 'control', 'power', 'door', 'locks', 'power', 'steering', 'traction', 'control', 'van']",4.0
TOYOTA,FORTUNER,UNKNOWN,65931,PEARL,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2800,,2019,NAIROBI,1229657,"4 DOORS, 7 SEATER, ABS, ABS CONTROL, ALLOY RIMS, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, DOWNHILL ASSIST CONTROL, FOG LIGHTS, HEATED SEATS, KEYLESS ENTRY / EXIT, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, MULTI FUNCTIONAL STEERING, MULTIMEDIA CENTRE CONSOLE, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, RADIO, REVERSE CAMERA, SIDE MIRROR INDICATORS, XENON HEADLIGHTS",2019,TOYOTA FORTUNER,"['4', 'doors', '7', 'seater', 'abs', 'abs', 'control', 'alloy', 'rims', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'downhill', 'assist', 'control', 'fog', 'lights', 'heated', 'seats', 'keyless', 'entry', 'exit', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'multi', 'functional', 'steering', 'multimedia', 'centre', 'console', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'radio', 'reverse', 'camera', 'side', 'mirror', 'indicators', 'xenon', 'headlights']",
JEEP,COMPASS,UNKNOWN,10494,ORANGE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2400,56035.0,2018,NAIROBI,1063892,"4 DOORS, 5 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, ELECTRIC HANDBRAKE, FABRIC SEATS, FOG LIGHTS, KEYLESS ENTRY / EXIT, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PUSH  TO START, TRACTION CONTROL",2018,JEEP COMPASS,"['4', 'doors', '5', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'electric', 'handbrake', 'fabric', 'seats', 'fog', 'lights', 'keyless', 'entry', 'exit', 'power', 'door', 'locks', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'push', 'to', 'start', 'traction', 'control']",1.0
TOYOTA,LANDCRUISER 250,UNKNOWN,13197,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2700,5570.0,2024,NAIROBI,2585238,"12V ADAPTOR, 360 DEGREES CAMERA, 4WD, 5 DOOR, 7 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, DOWNHILL ASSIST CONTROL, DRIVING MODE SELECTOR, ECO MODE, ELECTRIC HANDBRAKE, FOG LIGHTS, FRONT & REAR CLIMATE CONTROL, FULL DIGITAL CLUSTER METER, HEATED /COOLED SEATS, HEATED STEERING WHEEL, KEYLESS ENTRY / EXIT, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, LED HEADLIGHTS, MEMORY SEATS, MULTI FUNCTIONAL STEERING, MULTIMEDIA CENTRE CONSOLE, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER SUNROOF, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, RADIO, REVERSE CAMERA, ROOF RAILS, SIDE STEPS, TRACTION CONTROL",2024,TOYOTA LANDCRUISER 250,"['12v', 'adaptor', '360', 'degrees', 'camera', '4wd', '5', 'door', '7', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'downhill', 'assist', 'control', 'driving', 'mode', 'selector', 'eco', 'mode', 'electric', 'handbrake', 'fog', 'lights', 'front', 'rear', 'climate', 'control', 'full', 'digital', 'cluster', 'meter', 'heated', 'cooled', 'seats', 'heated', 'steering', 'wheel', 'keyless', 'entry', 'exit', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'led', 'headlights', 'memory', 'seats', 'multi', 'functional', 'steering', 'multimedia', 'centre', 'console', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'sunroof', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'radio', 'reverse', 'camera', 'roof', 'rails', 'side', 'steps', 'traction', 'control']",11.0
MERCEDEZ BENZ,GLE43,UNKNOWN,26986,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,79748.0,2018,MOMBASA,1829184,"12V ADAPTOR, 5 SEATER, ABS, ACTIVE BRAKING SYSTEM, ALLOY RIMS, AWD, CLIMATE CONTROL SETTINGS, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, DIGITAL INFOTAINMENT SYSTEM, DRIVER'S ARMREST WITH STORAGE, DRIVING MODE SELECTOR, DUAL ZONE CLIMATE CONTROL, ELECTRIC HANDBRAKE, FRONT & REAR CLIMATE CONTROL, HEATED SEATS, KEYLESS ENTRY / EXIT, LEATHER SEATS, LED HEADLIGHTS, MEMORY SEATS, MULTI FUNCTIONAL STEERING, MULTILINGUAL CENTER CONSOLE, MULTIMEDIA CENTRE CONSOLE, PADDLE SHIFTERS, PARKING SENSORS, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER SUNROOF, POWER WINDOW, PUSH  TO START, RADIO, REAR SEAT ARMREST WITH STORAGE, SIDE MIRROR INDICATORS, SIDE STEPS, USB PORT",2018,MERCEDEZ BENZ GLE43,"['12v', 'adaptor', '5', 'seater', 'abs', 'active', 'braking', 'system', 'alloy', 'rims', 'awd', 'climate', 'control', 'settings', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'digital', 'infotainment', 'system', 'driver', 's', 'armrest', 'with', 'storage', 'driving', 'mode', 'selector', 'dual', 'zone', 'climate', 'control', 'electric', 'handbrake', 'front', 'rear', 'climate', 'control', 'heated', 'seats', 'keyless', 'entry', 'exit', 'leather', 'seats', 'led', 'headlights', 'memory', 'seats', 'multi', 'functional', 'steering', 'multilingual', 'center', 'console', 'multimedia', 'centre', 'console', 'paddle', 'shifters', 'parking', 'sensors', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'sunroof', 'power', 'window', 'push', 'to', 'start', 'radio', 'rear', 'seat', 'armrest', 'with', 'storage', 'side', 'mirror', 'indicators', 'side', 'steps', 'usb', 'port']",10.0
JEEP,WRANGLER,UNKNOWN,12346,RED,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3600,82710.0,2018,NAIROBI,1522212,"4 DOORS, 4WD, 5 DOOR, 5 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, DOWNHILL ASSIST CONTROL, FABRIC SEATS, FOG LIGHTS, KEY START, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, TRACTION CONTROL",2018,JEEP WRANGLER,"['4', 'doors', '4wd', '5', 'door', '5', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'downhill', 'assist', 'control', 'fabric', 'seats', 'fog', 'lights', 'key', 'start', 'power', 'door', 'locks', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'traction', 'control']",0.0
NISSAN,NV200,UNKNOWN,20765,BLACK,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1600,93636.0,2018,MOMBASA,5076287,"12V ADAPTOR, 2 POWER WINDOWS, ABS, CUP HOLDER, FABRIC SEATS, KEY START, POWER DOOR LOCKS, POWER STEERING, TRACTION CONTROL, VAN",2018,NISSAN NV200,"['12v', 'adaptor', '2', 'power', 'windows', 'abs', 'cup', 'holder', 'fabric', 'seats', 'key', 'start', 'power', 'door', 'locks', 'power', 'steering', 'traction', 'control', 'van']",2.0
TOYOTA,FIELDER,UNKNOWN,87217,BLUE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1500,96630.0,2018,MOMBASA,3636171,"12V ADAPTOR, 4 DOORS, 5 SEATER, ABS, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, ECO MODE, FOG LIGHTS, HYBRID, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, MULTI FUNCTIONAL STEERING, PARKING SENSORS & CAMERAS, POWER DOOR LOCKS, POWER SIDE MIRRORS, POWER STEERING, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, TRACTION CONTROL",2018,TOYOTA FIELDER,"['12v', 'adaptor', '4', 'doors', '5', 'seater', 'abs', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'eco', 'mode', 'fog', 'lights', 'hybrid', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'multi', 'functional', 'steering', 'parking', 'sensors', 'cameras', 'power', 'door', 'locks', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'traction', 'control']",7.0
TOYOTA,LANDCRUISER 250,UNKNOWN,14639,PEARL,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2700,2611.0,2024,MOMBASA,3934747,"360 DEGREES CAMERA, 4WD, 5 DOOR, 7 SEATER, ABS, ALLOY RIMS, CRUISE CONTROL, DAYTIME RUNNING LED, DOWNHILL ASSIST CONTROL, DRIVING MODE SELECTOR, ECO MODE, ELECTRIC HANDBRAKE, FOG LIGHTS, FRONT & REAR CLIMATE CONTROL, HEATED /COOLED SEATS, HEATED STEERING WHEEL, KEYLESS ENTRY / EXIT, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, MEMORY SEATS, MULTI FUNCTIONAL STEERING, MULTIMEDIA CENTRE CONSOLE, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER SUNROOF, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, RADIO, REVERSE CAMERA, ROOF RAILS, SIDE STEPS, TRACTION CONTROL",2024,TOYOTA LANDCRUISER 250,"['360', 'degrees', 'camera', '4wd', '5', 'door', '7', 'seater', 'abs', 'alloy', 'rims', 'cruise', 'control', 'daytime', 'running', 'led', 'downhill', 'assist', 'control', 'driving', 'mode', 'selector', 'eco', 'mode', 'electric', 'handbrake', 'fog', 'lights', 'front', 'rear', 'climate', 'control', 'heated', 'cooled', 'seats', 'heated', 'steering', 'wheel', 'keyless', 'entry', 'exit', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'memory', 'seats', 'multi', 'functional', 'steering', 'multimedia', 'centre', 'console', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'sunroof', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'radio', 'reverse', 'camera', 'roof', 'rails', 'side', 'steps', 'traction', 'control']",11.0
